sku	price	quantity	leadtime-to-ship
9969931-DK-SHADOW-REFL-44	129.99	0	1
9969931-DK-SHADOW-REFL-45	129.99	0	1
9969931-DK-SHADOW-REFL-46	129.99	0	1
9969931-DK-SHADOW-REFL-47	129.99	0	1
9969931-DK-SHADOW-REFL-48	129.99	0	1
9969933-BLACK-GRAY-39	79.99	0	1
9969933-BLACK-GRAY-40	79.99	0	1
9969933-BLACK-GRAY-41	79.99	0	1
9969933-BLACK-GRAY-42	79.99	0	1
9969933-BLACK-GRAY-43	79.99	0	1
9969933-BLACK-GRAY-44	79.99	0	1
9969933-BLACK-GRAY-45	79.99	0	1
9969933-BLACK-GRAY-46	79.99	0	1
9969933-BLACK-GRAY-47	79.99	0	1
9969933-BLACK-GRAY-48	79.99	0	1
9969934-BLACK-39/6.5	224.99	0	1
9969934-BLACK-39.5/6.75	224.99	0	1
9969934-BLACK-40/7.25	224.99	0	1
9969934-BLACK-40.5/7.5	224.99	0	1
9969934-BLACK-41/8	224.99	0	1
9969934-BLACK-41.5/8.25	224.99	0	1
9969925-064-BLACK-SILVR-ALL	99.99	0	
9969925-093-BLACK-BLUE-ALL	99.99	0	
9969925-094-BLK-FL-YLLW-ALL	99.99	0	
9969926-HIGH-YLLW-BLACK-X-SMALL	16.15	0	1
9969926-HIGH-YLLW-BLACK-SMALL	16.15	0	1
9969926-HIGH-YLLW-BLACK-MEDIUM	16.15	0	1
9969926-HIGH-YLLW-BLACK-LARGE	16.15	0	1
9969926-MONO-BLACK-X-SMALL	16.15	0	1
9969926-MONO-BLACK-SMALL	16.15	0	1
9969926-MONO-BLACK-MEDIUM	16.15	0	1
9969926-MONO-BLACK-LARGE	16.15	0	1
9969926-PINK-BLACK-X-SMALL	16.15	0	1
9969926-PINK-BLACK-SMALL	16.15	0	1
9969926-PINK-BLACK-MEDIUM	16.15	0	1
9969926-PINK-BLACK-LARGE	16.15	0	1
9969927-BLUE-JEWEL-X-SMALL	17.99	0	1
9969927-BLUE-JEWEL-SMALL	17.99	0	1
9969927-BLUE-JEWEL-MEDIUM	17.99	0	1
9969927-BLUE-JEWEL-LARGE	17.99	0	1
9969927-GLWIN-RD-CM-BLK-X-SMALL	17.99	0	1
9969927-GLWIN-RD-CM-BLK-SMALL	17.99	0	1
9969927-GLWIN-RD-CM-BLK-MEDIUM	17.99	0	1
9969927-GLWIN-RD-CM-BLK-LARGE	17.99	0	1
9969927-HIGHLIGH-YELLOW-X-SMALL	17.99	0	1
9969927-HIGHLIGH-YELLOW-SMALL	17.99	0	1
9969927-HIGHLIGH-YELLOW-MEDIUM	17.99	0	1
9969927-HIGHLIGH-YELLOW-LARGE	17.99	0	1
9969927-PINK-BLACK-X-SMALL	17.99	0	1
9969934-BLACK-46/12	224.99	0	1
9969934-BLACK-46.5/12.25	224.99	0	1
9969934-BLACK-47/12.75	224.99	0	1
9969934-BLACK-48/13.5	224.99	0	1
9969934-HIGH-YLLW-BLACK-39/6.5	224.99	0	1
9969934-HIGH-YLLW-BLACK-39.5/6.75	224.99	0	1
